"","mu","Ne","Log.likelihood"
"140",2.5e-06,18,-3856.25350248086
"141",3e-06,18,-3828.92912192501
"142",3.5e-06,18,-3814.25476332842
"143",4e-06,18,-3808.83976295425
"144",4.5e-06,18,-3810.49707319483
"145",5e-06,18,-3817.73339331802
"146",5.5e-06,18,-3829.48361271073
"147",6e-06,18,-3844.96129310564
"148",6.5e-06,18,-3863.5692046295
"149",7e-06,18,-3884.84311107527
"150",7.5e-06,18,-3908.41499646127
"151",8e-06,18,-3933.9881839629
"152",8.5e-06,18,-3961.32001113571
"153",9e-06,18,-3990.20946463359
"154",1e-06,19,-4092.61390302939
"155",1.5e-06,19,-3966.20616011681
"156",2e-06,19,-3892.68495699868
"157",2.5e-06,19,-3848.14290955321
"158",3e-06,19,-3821.93129740195
"159",3.5e-06,19,-3808.36976883628
"160",4e-06,19,-3804.06766012502
"161",4.5e-06,19,-3806.83792366564
"162",5e-06,19,-3815.18725873154
"163",5.5e-06,19,-3828.05055471453
"164",6e-06,19,-3844.64137335304
"165",6.5e-06,19,-3864.36248477907
"166",7e-06,19,-3886.74965279092
"167",7.5e-06,19,-3911.4348614123
"168",8e-06,19,-3938.12143382381
"169",8.5e-06,19,-3966.56670758647
"170",9e-06,19,-3996.5696693595
"171",1e-06,20,-4082.24433812013
"172",1.5e-06,20,-3956.86586300143
"173",2e-06,20,-3884.37401818936
"174",2.5e-06,20,-3840.86138813614
"175",3e-06,20,-3815.67925246848
"176",3.5e-06,20,-3803.14725948342
"177",4e-06,20,-3799.87474545453
"178",4.5e-06,20,-3803.67466278483
"179",5e-06,20,-3813.05371075319
"180",5.5e-06,20,-3826.94677875644
"181",6e-06,20,-3844.56742853853
"182",6.5e-06,20,-3865.31843023652
"183",7e-06,20,-3888.73554765437
"184",7.5e-06,20,-3914.45076482096
"185",8e-06,20,-3942.16740492202
"186",8.5e-06,20,-3971.64280552409
"187",9e-06,20,-4002.6759532916
"188",1e-06,21,-4072.84555678118
"189",1.5e-06,21,-3948.4197847999
"190",2e-06,21,-3876.88073116587
"191",2.5e-06,21,-3834.32094890517
"192",3e-06,21,-3810.09171764967
"193",3.5e-06,21,-3798.51268570143
"194",4e-06,21,-3796.19318933963
"195",4.5e-06,21,-3800.94618097244
"196",5e-06,21,-3811.2783598837
"197",5.5e-06,21,-3826.12461547603
"198",6e-06,21,-3844.69850949804
"199",6.5e-06,21,-3866.40281209245
"200",7e-06,21,-3890.77328706832
"201",7.5e-06,21,-3917.44191845958
"202",8e-06,21,-3946.1120294575
"203",8.5e-06,21,-3976.54095763379
"204",9e-06,21,-4008.52768965837
"205",1e-06,22,-4064.32425902512
"206",1.5e-06,22,-3940.78131722058
"207",2e-06,22,-3870.12448792627
"208",2.5e-06,22,-3828.44698421166
"209",3e-06,22,-3805.10008571431
"210",3.5e-06,22,-3794.40344074089
"211",4e-06,22,-3792.96638557638
"212",4.5e-06,22,-3798.60187263343
"213",5e-06,22,-3809.81660120184
"214",5.5e-06,22,-3825.54546068855
"215",6e-06,22,-3845.00201284816
"216",6.5e-06,22,-3867.58902782807
"217",7e-06,22,-3892.84226944253
"218",7.5e-06,22,-3920.39372173107
"219",8e-06,22,-3949.94670788973
"220",8.5e-06,22,-3981.2585654957
"221",9e-06,22,-4014.12828122345
"222",1e-06,23,-4056.60190301422
"223",1.5e-06,23,-3933.87594587864
"224",2e-06,23,-3864.03615311512
"225",2.5e-06,23,-3823.17573779851
"226",3e-06,23,-3800.64597957071
"227",3.5e-06,23,-3790.76652674419
"228",4e-06,23,-3790.14671560843
"229",4.5e-06,23,-3796.59949858178
"230",5e-06,23,-3808.63157495872
"231",5.5e-06,23,-3825.17783415163
"232",6e-06,23,-3845.45183791975
"233",6.5e-06,23,-3868.85635641605
"234",7e-06,23,-3894.92715345975
"235",7.5e-06,23,-3923.29621309515
"236",8e-06,23,-3953.66685852389
"237",8.5e-06,23,-3985.79642732771
"238",9e-06,23,-4019.48390618696
"239",1e-06,24,-4049.60843674475
"240",1.5e-06,24,-3927.63911848547
"241",2e-06,24,-3858.55601419072
"242",2.5e-06,24,-3818.45233694056
"243",3e-06,24,-3796.67936638196
"244",3.5e-06,24,-3787.55675083226
"245",4e-06,24,-3787.69382658599
"246",4.5e-06,24,-3794.90354606653
"247",5e-06,24,-3807.69260857337
"248",5.5e-06,24,-3824.9959035238
"249",6e-06,24,-3846.02699268226
"250",6.5e-06,24,-3870.18864620675
"251",7e-06,24,-3897.01662792113
"252",7.5e-06,24,-3926.14292187527
"253",8e-06,24,-3957.2708512755
"254",8.5e-06,24,-3990.15775370859
"255",9e-06,24,-4024.60261585979
"256",1e-06,25,-4043.28321537267
"257",1.5e-06,25,-3922.0145594754
"258",2e-06,25,-3853.63216493794
"259",2.5e-06,25,-3814.22924484503
"260",3e-06,25,-3793.15707884884
"261",3.5e-06,25,-3784.73531527167
"262",4e-06,25,-3785.573290413
"263",4.5e-06,25,-3793.48395670104
"264",5e-06,25,-3806.97401343996
"265",5.5e-06,25,-3824.97835005249
"266",6e-06,25,-3846.71052830759
"267",6.5e-06,25,-3871.57331836807
"268",7e-06,25,-3899.10248406306
"269",7.5e-06,25,-3928.9300094474
"270",8e-06,25,-3960.75921773198
"271",8.5e-06,25,-3994.34744650874
"272",9e-06,25,-4029.49368246792
"273",1e-06,26,-4037.57293690648
"274",1.5e-06,26,-3916.95292396955
"275",2e-06,26,-3849.21921766261
"276",2.5e-06,26,-3810.46503107513
"277",3e-06,26,-3790.04164386428
"278",3.5e-06,26,-3782.26870435698
"279",4e-06,26,-3783.75554885767
"280",4.5e-06,26,-3792.31512979914
"281",5e-06,26,-3806.4541464907
"282",5.5e-06,26,-3825.10748835958
"283",6e-06,26,-3847.48871718
"284",6.5e-06,26,-3873.0006031193
"285",7e-06,26,-3901.17891001148
"286",7.5e-06,26,-3931.65562191587
"287",8e-06,26,-3964.13406204877
"288",8.5e-06,26,-3998.37156800674
"289",9e-06,26,-4034.16712648474
"290",1e-06,27,-4032.43050762279
