Ne,type,density,fill
19.318750000000197,posterior,0,NA
19.318750000000197,prior,0.0016173284949730822,NA
19.331250000000196,posterior,1.0138505795959976e-5,NA
19.331250000000196,prior,0.001616300128909671,NA
19.343750000000195,posterior,1.0279087361556783e-5,NA
19.343750000000195,prior,0.0016152730677882138,NA
19.356250000000195,posterior,1.0419668927153592e-5,NA
19.356250000000195,prior,0.0016142473091111794,NA
19.368750000000194,posterior,1.05602504927504e-5,NA
19.368750000000194,prior,0.0016132228503874266,NA
19.381250000000193,posterior,1.0700832058347209e-5,NA
19.381250000000193,prior,0.0016121996891321814,NA
19.393750000000193,posterior,1.0841413623944017e-5,NA
19.393750000000193,prior,0.001611177822867019,NA
19.406250000000192,posterior,1.0981995189540826e-5,NA
19.406250000000192,prior,0.0016101572491198418,NA
19.41875000000019,posterior,1.1122576755137633e-5,NA
19.41875000000019,prior,0.0016091379654248601,NA
19.43125000000019,posterior,1.1264991224066727e-5,NA
19.43125000000019,prior,0.001608119969322572,NA
19.44375000000019,posterior,1.1429620968894232e-5,NA
19.44375000000019,prior,0.0016071032583597428,NA
19.45625000000019,posterior,1.1594250713721737e-5,NA
19.45625000000019,prior,0.0016060878300893848,NA
19.46875000000019,posterior,1.1758880458549242e-5,NA
19.46875000000019,prior,0.001605073682070738,NA
19.481250000000188,posterior,1.1923510203376745e-5,NA
19.481250000000188,prior,0.0016040608118692513,NA
19.493750000000187,posterior,1.208813994820425e-5,NA
19.493750000000187,prior,0.0016030492170565596,NA
19.506250000000186,posterior,1.2252769693031753e-5,NA
19.506250000000186,prior,0.001602038895210468,NA
19.518750000000185,posterior,1.2417399437859258e-5,NA
19.518750000000185,prior,0.001601029843914928,NA
19.531250000000185,posterior,1.2582029182686763e-5,NA
19.531250000000185,prior,0.0016000220607600229,NA
19.543750000000184,posterior,1.2746658927514268e-5,NA
19.543750000000184,prior,0.0015990155433419431,NA
19.556250000000183,posterior,1.2911288672341772e-5,NA
19.556250000000183,prior,0.0015980102892629707,NA
19.568750000000183,posterior,1.3075918417169277e-5,NA
19.568750000000183,prior,0.0015970062961314596,NA
19.581250000000182,posterior,1.3240548161996782e-5,NA
19.581250000000182,prior,0.001596003561561813,NA
19.59375000000018,posterior,1.3405177906824285e-5,NA
19.59375000000018,prior,0.001595002083174468,NA
19.60625000000018,posterior,1.356980765165179e-5,NA
19.60625000000018,prior,0.0015940018585958757,NA
19.61875000000018,posterior,1.3738108311678255e-5,NA
19.61875000000018,prior,0.0015930028854584813,NA
19.63125000000018,posterior,1.3928994580425373e-5,NA
19.63125000000018,prior,0.0015920051614007045,NA
19.64375000000018,posterior,1.4119880849172492e-5,NA
19.64375000000018,prior,0.001591008684066923,NA
19.656250000000178,posterior,1.431076711791961e-5,NA
19.656250000000178,prior,0.0015900134511074515,NA
19.668750000000177,posterior,1.450165338666673e-5,NA
19.668750000000177,prior,0.0015890194601785239,NA
