combined.initial.extinct.1M.log	NeParameter
19.318750000000197	0.0
19.331250000000196	1.0138505795959976E-5
19.343750000000195	1.0279087361556783E-5
19.356250000000195	1.0419668927153592E-5
19.368750000000194	1.05602504927504E-5
19.381250000000193	1.0700832058347209E-5
19.393750000000193	1.0841413623944017E-5
19.406250000000192	1.0981995189540826E-5
19.41875000000019	1.1122576755137633E-5
19.43125000000019	1.1264991224066727E-5
19.44375000000019	1.1429620968894232E-5
19.45625000000019	1.1594250713721737E-5
19.46875000000019	1.1758880458549242E-5
19.481250000000188	1.1923510203376745E-5
19.493750000000187	1.208813994820425E-5
19.506250000000186	1.2252769693031753E-5
19.518750000000185	1.2417399437859258E-5
19.531250000000185	1.2582029182686763E-5
19.543750000000184	1.2746658927514268E-5
19.556250000000183	1.2911288672341772E-5
19.568750000000183	1.3075918417169277E-5
19.581250000000182	1.3240548161996782E-5
19.59375000000018	1.3405177906824285E-5
19.60625000000018	1.356980765165179E-5
19.61875000000018	1.3738108311678255E-5
19.63125000000018	1.3928994580425373E-5
19.64375000000018	1.4119880849172492E-5
19.656250000000178	1.431076711791961E-5
19.668750000000177	1.450165338666673E-5
19.681250000000176	1.469253965541385E-5
19.693750000000176	1.4883425924160968E-5
19.706250000000175	1.5074312192908086E-5
19.718750000000174	1.5265198461655205E-5
19.731250000000173	1.5456084730402323E-5
19.743750000000173	1.5646970999149445E-5
19.756250000000172	1.5837857267896564E-5
19.76875000000017	1.6028743536643682E-5
19.78125000000017	1.62196298053908E-5
19.79375000000017	1.641051607413792E-5
19.80625000000017	1.6607158905291563E-5
19.81875000000017	1.682634667432077E-5
19.831250000000168	1.7045534443349975E-5
19.843750000000167	1.726472221237918E-5
19.856250000000166	1.7483909981408387E-5
19.868750000000166	1.7703097750437593E-5
19.881250000000165	1.79222855194668E-5
19.893750000000164	1.8141473288496005E-5
19.906250000000163	1.836066105752521E-5
19.918750000000163	1.8579848826554417E-5
19.931250000000162	1.879903659558362E-5
19.94375000000016	1.9018224364612826E-5
19.95625000000016	1.9237412133642032E-5
19.96875000000016	1.9456599902671238E-5
19.98125000000016	1.9675787671700444E-5
19.99375000000016	1.9903018067485634E-5
20.006250000000158	2.0152328824892675E-5
20.018750000000157	2.0401639582299716E-5
20.031250000000156	2.0650950339706757E-5
20.043750000000156	2.0900261097113798E-5
20.056250000000155	2.114957185452084E-5
20.068750000000154	2.139888261192788E-5
20.081250000000153	2.164819336933492E-5
20.093750000000153	2.1897504126741963E-5
20.106250000000152	2.2146814884149004E-5
20.11875000000015	2.2396125641556045E-5
20.13125000000015	2.2645436398963086E-5
20.14375000000015	2.2894747156370127E-5
20.15625000000015	2.3144057913777168E-5
20.16875000000015	2.339336867118421E-5
20.181250000000148	2.3653149892375335E-5
20.193750000000147	2.3934133213226804E-5
20.206250000000146	2.421511653407827E-5
20.218750000000146	2.449609985492974E-5
20.231250000000145	2.4777083175781207E-5
20.243750000000144	2.5058066496632676E-5
20.256250000000144	2.5339049817484145E-5
20.268750000000143	2.5620033138335614E-5
20.281250000000142	2.590101645918708E-5
20.29375000000014	2.618199978003855E-5
20.30625000000014	2.6462983100890017E-5
20.31875000000014	2.6743966421741486E-5
20.33125000000014	2.7024949742592955E-5
20.34375000000014	2.7305933063444424E-5
20.356250000000138	2.758691638429589E-5
20.368750000000137	2.7880876157965946E-5
20.381250000000136	2.8194779904292296E-5
20.393750000000136	2.850868365061865E-5
20.406250000000135	2.8822587396945E-5
20.418750000000134	2.9136491143271354E-5
20.431250000000134	2.9450394889597707E-5
20.443750000000133	2.9764298635924056E-5
20.456250000000132	3.007820238225041E-5
20.46875000000013	3.0392106128576762E-5
20.48125000000013	3.0706009874903115E-5
20.49375000000013	3.101991362122947E-5
20.50625000000013	3.133381736755582E-5
20.51875000000013	3.1647721113882166E-5
20.531250000000128	3.196162486020852E-5
