mu,Ne,LL
8.249999999999999e-6,10.25,-3454.5544284589923
8.5e-6,10.25,-3462.1680876458813
8.75e-6,10.25,-3470.170506536491
9e-6,10.25,-3478.5397890339154
1e-6,10.3,-3791.1751789207956
1.2499999999999999e-6,10.3,-3712.0514611959575
1.5e-6,10.3,-3651.257003251457
1.75e-6,10.3,-3603.1114533091713
2e-6,10.3,-3564.2241475684395
2.25e-6,10.3,-3532.405662196232
2.4999999999999998e-6,10.3,-3506.167184676096
2.75e-6,10.3,-3484.4414922072597
3e-6,10.3,-3466.4421464583565
3.25e-6,10.3,-3451.5719174919886
3.5e-6,10.3,-3439.36656903716
3.7499999999999997e-6,10.3,-3429.4580850480875
4e-6,10.3,-3421.5497886356206
4.25e-6,10.3,-3415.399017291677
4.5e-6,10.3,-3410.8047576058643
4.749999999999999e-6,10.3,-3407.5986276639255
4.9999999999999996e-6,10.3,-3405.638175175685
5.25e-6,10.3,-3404.8018124422374
5.5e-6,10.3,-3404.984930691052
5.75e-6,10.3,-3406.096878859367
6e-6,10.3,-3408.05858584491
6.2499999999999995e-6,10.3,-3410.8006684654656
6.5e-6,10.3,-3414.261910723639
6.75e-6,10.3,-3418.388030230625
7e-6,10.3,-3423.1306690797023
7.25e-6,10.3,-3428.4465618804506
7.499999999999999e-6,10.3,-3434.2968448915253
7.75e-6,10.3,-3440.646478478547
8e-6,10.3,-3447.4637612940514
8.249999999999999e-6,10.3,-3454.71991923901
8.5e-6,10.3,-3462.3887558022893
8.75e-6,10.3,-3470.44635309817
9e-6,10.3,-3478.870815030045
1e-6,10.35,-3789.7505545652175
1.2499999999999999e-6,10.35,-3710.6817345208187
1.5e-6,10.35,-3649.942175283749
1.75e-6,10.35,-3601.8515250758796
2e-6,10.35,-3563.019120096433
2.25e-6,10.35,-3531.25552497713
2.4999999999999998e-6,10.35,-3505.0719489906487
2.75e-6,10.35,-3483.4011590821447
3e-6,10.35,-3465.456716920894
3.25e-6,10.35,-3450.6413925691527
3.5e-6,10.35,-3438.4909497559424
3.7499999999999997e-6,10.35,-3428.6373724357218
4e-6,10.35,-3420.7839837193974
4.25e-6,10.35,-3414.6881210988017
4.5e-6,10.35,-3410.148771163454
4.749999999999999e-6,10.35,-3406.997551999208
4.9999999999999996e-6,10.35,-3405.0920113160196
5.25e-6,10.35,-3404.3105614150313
5.5e-6,10.35,-3404.548593523576
5.75e-6,10.35,-3405.715456578922
6e-6,10.35,-3407.732079479013
6.2499999999999995e-6,10.35,-3410.5290790414547
6.5e-6,10.35,-3414.0452392689836
6.75e-6,10.35,-3418.226277772953
7e-6,10.35,-3423.023836646534
7.25e-6,10.35,-3428.394650499298
7.499999999999999e-6,10.35,-3434.2998555899967
7.75e-6,10.35,-3440.7044122840985
8e-6,10.35,-3447.5766192344136
8.249999999999999e-6,10.35,-3454.887702342004
8.5e-6,10.35,-3462.6114650955806
8.75e-6,10.35,-3470.723989609656
9e-6,10.35,-3479.2033797872873
1e-6,10.4,-3788.3354105557246
1.2499999999999999e-6,10.4,-3709.321238580417
1.5e-6,10.4,-3648.636328437806
1.75e-6,10.4,-3600.600328350194
2e-6,10.4,-3561.8225745169175
2.25e-6,10.4,-3530.113620033894
2.4999999999999998e-6,10.4,-3503.98469596309
2.75e-6,10.4,-3482.368558995935
3e-6,10.4,-3464.478770801801
3.25e-6,10.4,-3449.718101443004
3.5e-6,10.4,-3437.622314648821
3.7499999999999997e-6,10.4,-3427.823394373279
4e-6,10.4,-3420.024663727656
4.25e-6,10.4,-3413.9834602036035
4.5e-6,10.4,-3409.498770390848
4.749999999999999e-6,10.4,-3406.4022123751606
4.9999999999999996e-6,10.4,-3404.551333866495
5.25e-6,10.4,-3403.8245471661885
5.5e-6,10.4,-3404.117243501446
5.75e-6,10.4,-3405.3387718097597
6e-6,10.4,-3407.410060988853
6.2499999999999995e-6,10.4,-3410.261727856617
6.5e-6,10.4,-3413.832556415671
6.75e-6,10.4,-3418.068264277188
7e-6,10.4,-3422.9204935347684
7.25e-6,10.4,-3428.345978797866
7.499999999999999e-6,10.4,-3434.30585632524
7.75e-6,10.4,-3440.765086482275
8e-6,10.4,-3447.6919679220114
8.249999999999999e-6,10.4,-3455.0577265454313
8.5e-6,10.4,-3462.836165841197
8.75e-6,10.4,-3471.0033679239355
9e-6,10.4,-3479.5374366968263
1e-6,10.45,-3786.9296524748506
1.2499999999999999e-6,10.45,-3707.9698804813847
1.5e-6,10.45,-3647.3393713453897
1.75e-6,10.45,-3599.3577732885865
2e-6,10.45,-3560.6344225103658
2.25e-6,10.45,-3528.9798605719443
2.4999999999999998e-6,10.45,-3502.9053403234007
2.75e-6,10.45,-3481.343608203213
3e-6,10.45,-3463.5082258803536
3.25e-6,10.45,-3448.8019634176085
3.5e-6,10.45,-3436.760584543749
3.7499999999999997e-6,10.45,-3427.016073213325
4e-6,10.45,-3419.271752537456
4.25e-6,10.45,-3413.2849600079962
4.5e-6,10.45,-3408.854682214352
4.749999999999999e-6,10.45,-3405.812537242511
4.9999999999999996e-6,10.45,-3404.0160728026967
5.25e-6,10.45,-3403.3437011957853
5.5e-6,10.45,-3403.6908136492148
5.75e-6,10.45,-3404.9667591007465
6e-6,10.45,-3407.092466447933
6.2499999999999995e-6,10.45,-3409.9985525086536
6.5e-6,10.45,-3413.62380128553
6.75e-6,10.45,-3417.9139303900074
7e-6,10.45,-3422.820581915601
7.25e-6,10.45,-3428.300490471503
7.499999999999999e-6,10.45,-3434.3147923169013
7.75e-6,10.45,-3440.8284478170726
8e-6,10.45,-3447.809755625076
8.249999999999999e-6,10.45,-3455.229941641753
8.5e-6,10.45,-3463.0628093562436
8.75e-6,10.45,-3471.2844408827423
9e-6,10.45,-3479.8729401247383
1e-6,10.5,-3785.5331872898346
1.2499999999999999e-6,10.5,-3706.6275687026514
1.5e-6,10.5,-3646.0512139959874
1.75e-6,10.5,-3598.1237713916835
2e-6,10.5,-3559.454577089163
2.25e-6,10.5,-3527.8541611141245
2.4999999999999998e-6,10.5,-3501.8337981057525
2.75e-6,10.5,-3480.3262242489936
3e-6,10.5,-3462.545001212743
3.25e-6,10.5,-3447.8928990598924
3.5e-6,10.5,-3435.905681519213
3.7499999999999997e-6,10.5,-3426.215332545502
4e-6,10.5,-3418.5251752495387
4.25e-6,10.5,-3412.592547123215
4.5e-6,10.5,-3408.2164347563507
4.749999999999999e-6,10.5,-3405.2284562348714
4.9999999999999996e-6,10.5,-3403.486159268648
5.25e-6,10.5,-3402.8679561589447
5.5e-6,10.5,-3403.269238133321
5.75e-6,10.5,-3404.5993541292187
6e-6,10.5,-3406.7792330443417
6.2499999999999995e-6,10.5,-3409.7394916967005
6.5e-6,10.5,-3413.418914088891
6.75e-6,10.5,-3417.7632178323606
7e-6,10.5,-3422.7240450206114
7.25e-6,10.5,-3428.2581302630138
7.499999999999999e-6,10.5,-3434.326609818669
7.75e-6,10.5,-3440.894444052995
8e-6,10.5,-3447.929931618909
8.249999999999999e-6,10.5,-3455.4042984175476
8.5e-6,10.5,-3463.291347937652
8.75e-6,10.5,-3471.5671622939158
9e-6,10.5,-3480.209845389454
1e-6,10.55,-3784.145923326926
1.2499999999999999e-6,10.55,-3705.294213068016
1.5e-6,10.55,-3644.7717677113274
1.75e-6,10.55,-3596.8982354788513
2e-6,10.55,-3558.281894526527
2.25e-6,10.55,-3526.7364374753365
2.4999999999999998e-6,10.55,-3500.769986622627
2.75e-6,10.55,-3479.3163259434828
3e-6,10.55,-3461.5890171068886
3.25e-6,10.55,-3446.9908301756677
3.5e-6,10.55,-3435.057528878666
3.7499999999999997e-6,10.55,-3425.4210971705834
4e-6,10.55,-3417.7848581623043
4.25e-6,10.55,-3411.9061493459058
4.5e-6,10.55,-3407.583957311026
4.749999999999999e-6,10.55,-3404.649900143643
4.9999999999999996e-6,10.55,-3402.961525553872
5.25e-6,10.55,-3402.397245842773
5.5e-6,10.55,-3402.852452238123
5.75e-6,10.55,-3404.2364936769072
6e-6,10.55,-3406.4702990576734
6.2499999999999995e-6,10.55,-3409.4844851978037
6.5e-6,10.55,-3413.2178361002784
6.75e-6,10.55,-3417.6160693763004
7e-6,10.55,-3422.630827119664
7.25e-6,10.55,-3428.2188439397955
7.499999999999999e-6,10.55,-3434.3412560954303
7.75e-6,10.55,-3440.963023952478
8e-6,10.55,-3448.052446163481
8.249999999999999e-6,10.55,-3455.5807486299036
8.5e-6,10.55,-3463.521734840445
8.75e-6,10.55,-3471.85148690979
9e-6,10.55,-3480.5481087411004
1e-6,10.6,-3782.7677702448514
1.2499999999999999e-6,10.6,-3703.9697247205877
1.5e-6,10.6,-3643.500945119107
1.75e-6,10.6,-3595.6810796624295
2e-6,10.6,-3557.1184014918204
2.25e-6,10.6,-3525.6266067369643
2.4999999999999998e-6,10.6,-3499.7138244401917
2.75e-6,10.6,-3478.3138333372967
3e-6,10.6,-3460.6401950978275
3.25e-6,10.6,-3446.0956797843405
3.5e-6,10.6,-3434.2160511257753
3.7499999999999997e-6,10.6,-3424.6332930769518
4e-6,10.6,-3417.0507287486957
4.25e-6,10.6,-3411.2256956331184
4.5e-6,10.6,-3406.9571803199356
4.749999999999999e-6,10.6,-3404.07680089503
4.9999999999999996e-6,10.6,-3402.442105068738
5.25e-6,10.6,-3401.9315051420444
5.5e-6,10.6,-3402.4403923426594
5.75e-6,10.6,-3403.878115608013
6e-6,10.6,-3406.1656038360506
6.2499999999999995e-6,10.6,-3409.2334738446025
6.5e-6,10.6,-3413.0205096367004
6.75e-6,10.6,-3417.4724288234875
7e-6,10.6,-3422.5408734985986
7.25e-6,10.6,-3428.1825782716364
7.499999999999999e-6,10.6,-3434.358679401694
7.75e-6,10.6,-3441.0341372539633
8e-6,10.6,-3448.1772504817877
8.249999999999999e-6,10.6,-3455.7592449862764
8.5e-6,10.6,-3463.7539242561393
8.75e-6,10.6,-3472.137370406161
9e-6,10.6,-3480.8876873397035
1e-6,10.65,-3781.3986390091736
1.2499999999999999e-6,10.65,-3702.654016097898
1.5e-6,10.65,-3642.2386601282988
1.75e-6,10.65,-3594.4722193229
2e-6,10.65,-3555.962961808364
2.25e-6,10.65,-3524.5245872224295
2.4999999999999998e-6,10.65,-3498.665231352774
2.75e-6,10.65,-3477.318667696632
3e-6,10.65,-3459.698457922977
3.25e-6,10.65,-3445.207372094907
3.5e-6,10.65,-3433.3811739412367
3.7499999999999997e-6,10.65,-3423.851847416563
4e-6,10.65,-3416.32271563202
4.25e-6,10.65,-3410.551116079697
4.5e-6,10.65,-3406.3360353493217
4.749999999999999e-6,10.65,-3403.5090915268015
4.9999999999999996e-6,10.65,-3401.927832322411
5.25e-6,10.65,-3401.4706700373736
5.5e-6,10.65,-3402.0329958991715
5.75e-6,10.65,-3403.5241588453755
6e-6,10.65,-3405.8650877740583
6.2499999999999995e-6,10.65,-3408.986399503118
6.5e-6,10.65,-3412.826878035263
6.75e-6,10.65,-3417.3322409821612
7e-6,10.65,-3422.4541304370928
7.25e-6,10.65,-3428.14928100988
7.499999999999999e-6,10.65,-3434.378828959457
7.75e-6,10.65,-3441.107734651479
8e-6,10.65,-3448.304296738743
8.249999999999999e-6,10.65,-3455.939741122693
8.5e-6,10.65,-3463.987871292137
8.75e-6,10.65,-3472.4247693618545
9e-6,10.65,-3481.2285392350173
1e-6,10.7,-3780.037905342062
1.2499999999999999e-6,10.7,-3701.346330243145
1.5e-6,10.7,-3640.984023101904
1.75e-6,10.7,-3593.270632140346
2e-6,10.7,-3554.8154935582047
2.25e-6,10.7,-3523.4302984726933
2.4999999999999998e-6,10.7,-3497.624128360427
2.75e-6,10.7,-3476.3307514797425
3e-6,10.7,-3458.7637294995375
3.25e-6,10.7,-3444.3258324829662
3.5e-6,10.7,-3432.552824158852
3.7499999999999997e-6,10.7,-3423.076688482059
4e-6,10.7,-3415.6007485635446
4.25e-6,10.7,-3409.882341895304
4.5e-6,10.7,-3405.720455067176
4.749999999999999e-6,10.7,-3402.9467061652417
4.9999999999999996e-6,10.7,-3401.418642899839
5.25e-6,10.7,-3401.0146775720027
5.5e-6,10.7,-3401.630201409431
5.75e-6,10.7,-3403.1745633496407
6e-6,10.7,-3405.5686922909003
6.2499999999999995e-6,10.7,-3408.7432050505463
6.5e-6,10.7,-3412.6368856321405
6.75e-6,10.7,-3417.195451646615
7e-6,10.7,-3422.370545187876
7.25e-6,10.7,-3428.1189008656106
7.499999999999999e-6,10.7,-3434.4016549385424
7.75e-6,10.7,-3441.1837677726176
8e-6,10.7,-3448.433538020647
8.249999999999999e-6,10.7,-3456.1221915841343
8.5e-6,10.7,-3464.2235319517904
8.75e-6,10.7,-3472.71364123825
9e-6,10.7,-3481.5706233471637
1e-6,10.75,-3778.686553294232
1.2499999999999999e-6,10.75,-3700.0479203005093
1.5e-6,10.75,-3639.7385562810305
1.75e-6,10.75,-3592.0781094579124
2e-6,10.75,-3553.6754654793067
2.25e-6,10.75,-3522.343661223115
2.4999999999999998e-6,10.75,-3496.5904376442622
2.75e-6,10.75,-3475.3500083137374
3e-6,10.75,-3457.835934900388
3.25e-6,10.75,-3443.4509874673336
3.5e-6,10.75,-3431.730929743489
3.7499999999999997e-6,10.75,-3422.3077456837773
4e-6,10.75,-3414.884758399203
4.25e-6,10.75,-3409.2193053818182
4.5e-6,10.75,-3405.1103732216884
4.749999999999999e-6,10.75,-3402.389580004464
4.9999999999999996e-6,10.75,-3400.914473440612
5.25e-6,10.75,-3400.563465831417
5.5e-6,10.75,-3401.2319484045433
5.75e-6,10.75,-3402.8292700974434
6e-6,10.75,-3405.276359808363
6.2499999999999995e-6,10.75,-3408.5038343550864
6.5e-6,10.75,-3412.450477740813
6.75e-6,10.75,-3417.062007576603
7e-6,10.75,-3422.290065956374
7.25e-6,10.75,-3428.091387489786
7.499999999999999e-6,10.75,-3434.4271084357483
7.75e-6,10.75,-3441.262189160119
8e-6,10.75,-3448.564928315708
8.249999999999999e-6,10.75,-3456.3065518041317
8.5e-6,10.75,-3464.460863114176
8.75e-6,10.75,-3473.0039443603864
9e-6,10.75,-3481.9138994465056
1e-6,10.8,-3777.343963587047
1.2499999999999999e-6,10.8,-3698.758034914596
1.5e-6,10.8,-3638.5013762313833
1.75e-6,10.8,-3590.893635760022
2e-6,10.8,-3552.5436970528203
2.25e-6,10.8,-3521.2645973805334
2.4999999999999998e-6,10.8,-3495.5640825443643
2.75e-6,10.8,-3474.376362971711
3e-6,10.8,-3456.915000331904
3.25e-6,10.8,-3442.5827646875878
3.5e-6,10.8,-3430.9154197681655
3.7499999999999997e-6,10.8,-3421.544949528228
4e-6,10.8,-3414.174677078871
4.25e-6,10.8,-3408.5619399122666
4.5e-6,10.8,-3404.505724618368
4.749999999999999e-6,10.8,-3401.8376492832535
4.9999999999999996e-6,10.8,-3400.4152616169695
5.25e-6,10.8,-3400.1169739210873
5.5e-6,10.8,-3400.8381774232707
5.75e-6,10.8,-3402.488221060819
6e-6,10.8,-3404.988033732228
6.2499999999999995e-6,10.8,-3408.26823225517
6.5e-6,10.8,-3412.2676006328584
6.75e-6,10.8,-3416.931856476425
7e-6,10.8,-3422.2126418799635
7.25e-6,10.8,-3428.066691453085
7.499999999999999e-6,10.8,-3434.4551414546418
7.75e-6,10.8,-3441.342952250612
8e-6,10.8,-3448.698422493928
8.249999999999999e-6,10.8,-3456.4927780858993
8.5e-6,10.8,-3464.6998225155153
8.75e-6,10.8,-3473.295637897593
9e-6,10.8,-3482.258328135693
1e-6,10.85,-3776.0100521717877
1.2499999999999999e-6,10.85,-3697.4765914573973
1.5e-6,10.85,-3637.272401746238
1.75e-6,10.85,-3589.717131260527
2e-6,10.85,-3551.4196614573953
2.25e-6,10.85,-3520.193030000837
2.4999999999999998e-6,10.85,-3494.5449875374948
2.75e-6,10.85,-3473.409741351579
3e-6,10.85,-3456.000853112424
3.25e-6,10.85,-3441.721092883
3.5e-6,10.85,-3430.1062243926385
3.7499999999999997e-6,10.85,-3420.788231595879
4e-6,10.85,-3413.470437603803
4.25e-6,10.85,-3407.910179908763
4.5e-6,10.85,-3403.906445100661
4.749999999999999e-6,10.85,-3401.2908512655845
4.9999999999999996e-6,10.85,-3399.9209461135765
5.25e-6,10.85,-3399.6751419462676
5.5e-6,10.85,-3400.4488299913555
5.75e-6,10.85,-3402.1513591864586
6e-6,10.85,-3404.7036584295997
6.2499999999999995e-6,10.85,-3408.036344538631
6.5e-6,10.85,-3412.088201516974
6.75e-6,10.85,-3416.8049469760026
7e-6,10.85,-3422.138223009399
7.25e-6,10.85,-3428.044764226677
7.499999999999999e-6,10.85,-3434.4857068872193
7.75e-6,10.85,-3441.426011356656
8e-6,10.85,-3448.833976288203
8.249999999999999e-6,10.85,-3456.6808275831
8.5e-6,10.85,-3464.940368730418
8.75e-6,10.85,-3473.588681844699
9e-6,10.85,-3482.6038708299543
1e-6,10.9,-3774.6847361885843
1.2499999999999999e-6,10.9,-3696.203508477585
1.5e-6,10.9,-3636.0515527824678
1.75e-6,10.9,-3588.548517325488
2e-6,10.9,-3550.302906251742
2.25e-6,10.9,-3519.128883266669
2.4999999999999998e-6,10.9,-3493.5330782146393
2.75e-6,10.9,-3472.4500704528905
3e-6,10.9,-3455.0934216506917
3.25e-6,10.9,-3440.865901870772
3.5e-6,10.9,-3429.3032748425358
3.7499999999999997e-6,10.9,-3420.0375245208343
4e-6,10.9,-3412.7719740169696
4.25e-6,10.9,-3407.26396082266
4.5e-6,10.9,-3403.3124715280815
4.749999999999999e-6,10.9,-3400.749124219428
4.9999999999999996e-6,10.9,-3399.431466607003
5.25e-6,10.9,-3399.237910992176
5.5e-6,10.9,-3400.0638486027065
5.75e-6,10.9,-3401.818628376208
6e-6,10.9,-3404.423179210874
6.2499999999999995e-6,10.9,-3407.808117924737
6.5e-6,10.9,-3411.912228520852
6.75e-6,10.9,-3416.6812286108843
7e-6,10.9,-3422.0667602883946
7.25e-6,10.9,-3428.0255581629435
7.499999999999999e-6,10.9,-3434.5187584941596
7.75e-6,10.9,-3441.5113216475147
8e-6,10.9,-3448.971546276233
8.249999999999999e-6,10.9,-3456.8706582815785
8.5e-6,10.9,-3465.1824611528286
8.75e-6,10.9,-3473.8830370045707
9e-6,10.9,-3482.95048974049
1e-6,10.95,-3773.3679339439514
1.2499999999999999e-6,10.95,-3694.9387056781857
1.5e-6,10.95,-3634.838750439543
1.75e-6,10.95,-3587.387716450104
2e-6,10.95,-3549.1938746041974
2.25e-6,10.95,-3518.0720824667947
2.4999999999999998e-6,10.95,-3492.528281261348
2.75e-6,10.95,-3471.497278357286
3e-6,10.95,-3454.192635424187
3.25e-6,10.95,-3440.0171225248678
3.5e-6,10.95,-3428.5065033886863
3.7499999999999997e-6,10.95,-3419.292761970303
4e-6,10.95,-3412.079221381162
4.25e-6,10.95,-3406.6232191131267
4.5e-6,10.95,-3402.7237417564975
4.749999999999999e-6,10.95,-3400.2124073973255
4.9999999999999996e-6,10.95,-3398.94676374594
5.25e-6,10.95,-3398.8052231036386
5.5e-6,10.95,-3399.683176698514
5.75e-6,10.95,-3401.4899734680084
6e-6,10.95,-3404.14654231035
6.2499999999999995e-6,10.95,-3407.583500043684
6.5e-6,10.95,-3411.7396306709384
6.75e-6,10.95,-3416.560651803842
7e-6,10.95,-3421.9982055360665
7.25e-6,10.95,-3428.0090264774617
7.499999999999999e-6,10.95,-3434.5542508871667
7.75e-6,10.95,-3441.5988391309784
8e-6,10.95,-3449.1110898621664
8.249999999999999e-6,10.95,-3457.062228981955
8.5e-6,10.95,-3465.4260599796085
8.75e-6,10.95,-3474.1786649698224
9e-6,10.95,-3483.29814785637
1e-6,11,-3772.059564888747
1.2499999999999999e-6,11,-3693.6821038947264
