combined.initial.extinct.1M.log	NeParameter
17.10625000000043	0.0
17.11875000000043	1.0102896299364366E-5
17.131250000000428	1.0215346040325632E-5
17.143750000000427	1.03277957812869E-5
17.156250000000426	1.0440245522248167E-5
17.168750000000426	1.0552695263209433E-5
17.181250000000425	1.0665145004170699E-5
17.193750000000424	1.0777594745131967E-5
17.206250000000423	1.0890044486093234E-5
17.218750000000423	1.10024942270545E-5
17.231250000000422	1.1114943968015768E-5
17.24375000000042	1.1227393708977034E-5
17.25625000000042	1.1339843449938301E-5
17.26875000000042	1.1452293190899567E-5
17.28125000000042	1.1564742931860835E-5
17.29375000000042	1.16771926728221E-5
17.306250000000418	1.1789642413783368E-5
17.318750000000417	1.1913230247021777E-5
17.331250000000416	1.2041884007170756E-5
17.343750000000416	1.2170537767319733E-5
17.356250000000415	1.229919152746871E-5
17.368750000000414	1.2427845287617689E-5
17.381250000000414	1.2556499047766666E-5
17.393750000000413	1.2685152807915645E-5
17.406250000000412	1.2813806568064622E-5
17.41875000000041	1.2942460328213599E-5
17.43125000000041	1.3071114088362578E-5
17.44375000000041	1.3199767848511555E-5
17.45625000000041	1.3328421608660534E-5
17.46875000000041	1.3457075368809511E-5
17.481250000000408	1.3585729128958488E-5
17.493750000000407	1.3714382889107467E-5
17.506250000000406	1.3843036649256444E-5
17.518750000000406	1.3983513260713095E-5
17.531250000000405	1.4129949480893734E-5
17.543750000000404	1.4276385701074373E-5
17.556250000000404	1.4422821921255012E-5
17.568750000000403	1.456925814143565E-5
17.581250000000402	1.4715694361616289E-5
17.5937500000004	1.4862130581796928E-5
17.6062500000004	1.5008566801977565E-5
17.6187500000004	1.5155003022158205E-5
17.6312500000004	1.5301439242338842E-5
17.6437500000004	1.544787546251948E-5
17.656250000000398	1.559431168270012E-5
17.668750000000397	1.574074790288076E-5
17.681250000000396	1.5887184123061397E-5
17.693750000000396	1.6033620343242036E-5
17.706250000000395	1.6180056563422675E-5
17.718750000000394	1.6338949564607163E-5
17.731250000000394	1.6504778161509323E-5
17.743750000000393	1.6670606758411484E-5
17.756250000000392	1.683643535531364E-5
17.76875000000039	1.70022639522158E-5
17.78125000000039	1.7168092549117962E-5
17.79375000000039	1.7333921146020123E-5
17.80625000000039	1.749974974292228E-5
17.81875000000039	1.766557833982444E-5
17.831250000000388	1.78314069367266E-5
17.843750000000387	1.799723553362876E-5
17.856250000000387	1.816306413053092E-5
17.868750000000386	1.832889272743308E-5
17.881250000000385	1.849472132433524E-5
17.893750000000384	1.86605499212374E-5
17.906250000000384	1.8826378518139557E-5
17.918750000000383	1.9005234605209532E-5
17.931250000000382	1.9192080409207784E-5
17.94375000000038	1.9378926213206036E-5
17.95625000000038	1.9565772017204288E-5
17.96875000000038	1.975261782120254E-5
17.98125000000038	1.993946362520079E-5
17.99375000000038	2.0126309429199044E-5
18.006250000000378	2.0313155233197295E-5
18.018750000000377	2.0500001037195547E-5
18.031250000000377	2.06868468411938E-5
18.043750000000376	2.087369264519205E-5
18.056250000000375	2.1060538449190303E-5
18.068750000000374	2.1247384253188555E-5
18.081250000000374	2.1434230057186804E-5
18.093750000000373	2.1621075861185055E-5
18.106250000000372	2.1807921665183307E-5
18.11875000000037	2.2008291296223935E-5
18.13125000000037	2.2217777068127158E-5
18.14375000000037	2.242726284003038E-5
18.15625000000037	2.2636748611933604E-5
18.16875000000037	2.2846234383836827E-5
18.181250000000368	2.305572015574005E-5
18.193750000000367	2.3265205927643273E-5
18.206250000000367	2.3474691699546496E-5
18.218750000000366	2.368417747144972E-5
18.231250000000365	2.3893663243352942E-5
18.243750000000365	2.4103149015256165E-5
18.256250000000364	2.4312634787159388E-5
18.268750000000363	2.452212055906261E-5
18.281250000000362	2.4731606330965834E-5
18.29375000000036	2.4941092102869057E-5
18.30625000000036	2.515057787477228E-5
18.31875000000036	2.5374000109752886E-5
18.33125000000036	2.560773006956654E-5
18.34375000000036	2.584146002938019E-5
18.356250000000358	2.607518998919384E-5
18.368750000000357	2.630891994900749E-5
18.381250000000357	2.6542649908821144E-5
18.393750000000356	2.6776379868634797E-5
18.406250000000355	2.7010109828448447E-5
18.418750000000355	2.72438397882621E-5
18.431250000000354	2.7477569748075753E-5
18.443750000000353	2.7711299707889402E-5
18.456250000000352	2.7945029667703055E-5
18.46875000000035	2.8178759627516705E-5
18.48125000000035	2.8412489587330358E-5
18.49375000000035	2.864621954714401E-5
18.50625000000035	2.887994950695766E-5
18.51875000000035	2.9127937918233833E-5
18.531250000000348	2.938748290147672E-5
18.543750000000347	2.9647027884719604E-5
18.556250000000347	2.990657286796249E-5
18.568750000000346	3.0166117851205376E-5
18.581250000000345	3.042566283444826E-5
18.593750000000345	3.0685207817691145E-5
18.606250000000344	3.094475280093403E-5
18.618750000000343	3.1204297784176916E-5
18.631250000000342	3.14638427674198E-5
18.64375000000034	3.172338775066269E-5
18.65625000000034	3.1982932733905574E-5
18.66875000000034	3.224247771714846E-5
18.68125000000034	3.2502022700391346E-5
18.69375000000034	3.276156768363423E-5
18.706250000000338	3.302111266687712E-5
18.718750000000338	3.329514337257169E-5
18.731250000000337	3.3582028894702215E-5
18.743750000000336	3.3868914416832735E-5
18.756250000000335	3.4155799938963256E-5
18.768750000000335	3.4442685461093776E-5
18.781250000000334	3.47295709832243E-5
18.793750000000333	3.5016456505354824E-5
18.806250000000333	3.5303342027485344E-5
18.818750000000332	3.5590227549615865E-5
18.83125000000033	3.5877113071746386E-5
18.84375000000033	3.616399859387691E-5
18.85625000000033	3.645088411600743E-5
18.86875000000033	3.6737769638137954E-5
18.88125000000033	3.7024655160268474E-5
18.893750000000328	3.7311540682398995E-5
18.906250000000327	3.759842620452952E-5
18.918750000000326	3.789992920142719E-5
18.931250000000325	3.821562784694062E-5
18.943750000000325	3.853132649245405E-5
18.956250000000324	3.884702513796748E-5
18.968750000000323	3.916272378348091E-5
18.981250000000323	3.947842242899434E-5
18.993750000000322	3.979412107450778E-5
19.00625000000032	4.010981972002121E-5
19.01875000000032	4.042551836553464E-5
19.03125000000032	4.074121701104807E-5
19.04375000000032	4.10569156565615E-5
19.05625000000032	4.137261430207493E-5
19.068750000000318	4.168831294758836E-5
19.081250000000317	4.200401159310179E-5
19.093750000000316	4.231971023861523E-5
19.106250000000315	4.263540888412866E-5
19.118750000000315	4.2965763951491774E-5
19.131250000000314	4.331169359940138E-5
19.143750000000313	4.365762324731099E-5
19.156250000000313	4.40035528952206E-5
19.168750000000312	4.4349482543130215E-5
19.18125000000031	4.469541219103982E-5
19.19375000000031	4.504134183894943E-5
19.20625000000031	4.538727148685904E-5
19.21875000000031	4.573320113476865E-5
19.23125000000031	4.6079130782678256E-5
19.243750000000308	4.642506043058787E-5
19.256250000000307	4.677099007849748E-5
19.268750000000306	4.711691972640709E-5
19.281250000000306	4.74628493743167E-5
19.293750000000305	4.7808779022226305E-5
19.306250000000304	4.815470867013592E-5
19.318750000000303	4.8515247171699834E-5
19.331250000000303	4.889277661168125E-5
19.343750000000302	4.927030605166267E-5
19.3562500000003	4.964783549164409E-5
19.3687500000003	5.002536493162551E-5
19.3812500000003	5.040289437160693E-5
19.3937500000003	5.078042381158835E-5
19.4062500000003	5.1157953251569766E-5
19.418750000000298	5.1535482691551185E-5
19.431250000000297	5.1913012131532604E-5
19.443750000000296	5.229054157151402E-5
19.456250000000296	5.266807101149544E-5
19.468750000000295	5.304560045147686E-5
