# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Oct 02 13:34:26 BST 2020 [seed=702]
# -working -overwrite -seed 702 -prefix 702_ extinction/extinction_initial_uniform.xml
state	joint	prior	likelihood	NeParameter	generationTime	p01	p02	p03	p04	p05	p06	p07	p08	p09	p010	p011	p012	p013	p014	p015	p016	p017	p018	p019	p020	p021	p022	p023	p024	p025	p026	p027	p028	p029	p030	p031	p032	p033	p034	p035	p036	p037	p038	p039	p040	p041	p042	p043	p044	p045	p046	p047	p048	p049	p050	p051	p052	p053	p054	p055	p056	p057	p058	p059	p060	p061	p062	p063	pt1	pt2	pt3	pt4	pt5	pt6	pt7	pt8	pt9	pt10	pt11	pt12	pt13	pt14	pt15	pt16	pt17	pt18	pt19	pt20	pt21	pt22	pt23	pt24	pt25	pt26	pt27	pt28	pt29	pt30	pt31	pt32	pt33	pt34	pt35	pt36	pt37	pt38	pt39	pt40	pt41	pt42	pt43	pt44	pt45	pt46	pt47	pt48	pt49	pt50	pt51	pt52	pt53	pt54	pt55	pt56	pt57	pt58	pt59	pt60	pt61	pt62	pt63
0	-50189.13838861465	-6.861937707712735	-50182.27645090694	30.0	6.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
10000	-16775.882059179155	-5.803486617194345	-16770.07857256196	10.2138447593486	6.0	0.36852311735910753	0.29113019719804145	0.31062760047787685	0.2883501561156815	0.329882386257837	0.3738685316279122	0.35531735095338496	0.3783351599042474	0.36190533210396125	0.31111673780403665	0.37916239873564994	0.35421211794113244	0.35858203500826236	0.35092504044377787	0.36550467097545697	0.3683633070788722	0.32704193869864656	0.3325462697623886	0.3493060356350635	0.36205450033630215	0.3685998383077827	0.3360413774331127	0.3286970024008283	0.41297348315973254	0.33364352416877235	0.30042683874203113	0.35850348406713883	0.3309870320965565	0.3637442338219292	0.34781777184568863	0.42999576162423364	0.4721366251996367	0.3610859096547171	0.40354691884307464	0.3299245296739106	0.3456659064469617	0.3410862467477401	0.3684471421170231	0.369445243881377	0.3260004469595067	0.30447706183336476	0.36130596948724164	0.381717771158993	0.39539448676318334	0.38876375458095397	0.4054992987910388	0.3490077161810436	0.3174563194204955	0.346845264161689	0.35212415944783215	0.3762701670603529	0.34786492134109864	0.28049737821279924	0.3514942532640072	0.35033313621007295	0.39140854183464097	0.37137777316327397	0.29993140096028226	0.32542232388456105	0.3639197150718726	0.42014302174368445	0.3618456371340721	0.26971575027416683	0.0	0.0	0.3699769783677373	0.0	0.3670083276760197	0.0	0.0	0.0	0.0	0.4887541239472311	0.3072079562651854	0.36588688101729905	0.0	0.35332825564166853	0.30183967794619476	0.0	0.338487797337405	0.6193062502956846	0.35278042071048626	0.0	0.3592151920635037	0.0	0.3080012700397208	0.3032035815923911	0.0	0.32766044471046923	0.3083144770473992	0.3866218191281793	0.3795011566840777	0.36065720163369214	0.4716996682425309	0.43017287209396976	0.0	0.46937857795795485	0.0	0.27408798122181605	0.0	0.4883604742643428	0.0	0.0	0.0	0.3252746022697038	0.3946617829033908	0.0	0.3791681025055945	0.0	0.4523772068643243	0.3670500434537962	0.44626368540020456	0.32496708485797693	0.0	0.2708558626014208	0.37325364766621444	0.49964030236567974	0.0	0.2867619372378434	0.0	0.3588009177435731	0.0	0.0	0.0	0.44417707889635955	0.0
20000	-6804.113670336186	-5.970164536456129	-6798.1435057997305	12.117752511860054	6.0	0.2907804333753126	0.18808931787251784	0.1912780339727879	0.17647047368262525	0.19302877900543763	0.21970711559262338	0.2396413277218304	0.259031682631813	0.303949476782318	0.18612667165639135	0.280846750581965	0.27687252205201923	0.1878881659632584	0.22637858662852423	0.2639104585118734	0.20110054663409774	0.16296825073617807	0.2857962911371983	0.29072382196911545	0.21999458185205925	0.24068331740238563	0.22301065301746759	0.23802216572052828	0.2986247975670107	0.22831769173338726	0.21066536431167365	0.20557309280954994	0.1922568742268642	0.23104639958849932	0.20953839791822432	0.3282794083874158	0.4125079021766236	0.2281009427144365	0.24632418727218366	0.19069428033922603	0.23232380915220957	0.1725460542392502	0.26462191577417205	0.25637014881386133	0.19729569472123226	0.12494679181933348	0.2515994791560721	0.2336582103914911	0.2156667779072913	0.2809372468003567	0.2670842027335956	0.33181252351613355	0.2143760756857384	0.22403660273043774	0.2551217774659413	0.23871905198575546	0.24462847875612304	0.1712436226741257	0.2773943287007207	0.21250169884851583	0.3412895178830713	0.21882818970630116	0.18394396767138327	0.20251633471167238	0.21235665277584065	0.27877497815019725	0.31700774968950524	0.16016355339291777	0.0	0.0	0.2019076520075763	0.0	0.2639296227661605	0.0	0.0	0.0	0.0	0.5106555134430122	0.20977698255963473	0.23103875654722392	0.0	0.23174395985950128	0.22490292851014823	0.0	0.17186137712058075	0.6881345936380737	0.21888278103885153	0.0	0.209862667529949	0.0	0.19748445329980105	0.22640269373351743	0.0	0.2255470563486403	0.17328772631024802	0.23052558132003367	0.2648845047019031	0.20676720236547885	0.4747835676187004	0.3720341292805722	0.0	0.5006730754217232	0.0	0.19506972554109103	0.0	0.534669940825863	0.0	0.0	0.0	0.17270125817438975	0.24522743801151276	0.0	0.3497304844639277	0.0	0.448140406300601	0.2600201281554894	0.4631741547152774	0.17831172001127718	0.0	0.17286780864966048	0.21109368083831628	0.46698360437244263	0.0	0.182341317726508	0.0	0.24655645699690412	0.0	0.0	0.0	0.4590327623723663	0.0
30000	-2313.166012316353	-6.04654822086087	-2307.119464095492	13.103574781477285	6.0	0.2023455238812	0.1505049725501117	0.12064639624591615	0.1273771061412149	0.1150670980329221	0.15390353168073773	0.16545922786941045	0.18701916788265482	0.2744152441926304	0.14442885146308537	0.15919917124931562	0.24511523019049178	0.1128336108667337	0.1122537985807522	0.14205630318195664	0.1250331027794322	0.11799443423130652	0.29072052468186116	0.205687191641984	0.15616403677808047	0.1374476263748844	0.15965505692132456	0.19510575758058624	0.18711335409638383	0.14342052470738023	0.13560527056685984	0.11211359028281008	0.09412162029773792	0.16711410393815773	0.12628017093290575	0.19694903831980476	0.42201500442208484	0.17595388957904265	0.1610029529966333	0.1284832093988521	0.14046307163864866	0.0874408514841284	0.24412259361377525	0.15039400472103986	0.13369840163679325	0.08467381514830744	0.16910151509631974	0.14024409062264598	0.1126861307715407	0.21666066146867294	0.11725571320046693	0.31124905332573	0.1313852673351676	0.1845904705272241	0.168516980958704	0.14658663348131196	0.22488063092693827	0.12167360723711469	0.25975931732437546	0.09553154916569767	0.29874786181477836	0.15586776442660133	0.11956851055860947	0.12929609637907793	0.10684023775529804	0.19619659236274165	0.3116407707843158	0.08494014052045032	0.0	0.0	0.1448672075193163	0.0	0.19771610762406744	0.0	0.0	0.0	0.0	0.4831424996561402	0.18989780648545249	0.14817009353897195	0.0	0.15440057303454263	0.18324976244207233	0.0	0.09931402960715145	0.6880173944006304	0.12146044120088983	0.0	0.1260863186864111	0.0	0.12550897151707183	0.14907014263430055	0.0	0.18558578045395002	0.10741935567425631	0.12869101904197963	0.15695897598770805	0.1366665639263627	0.45409198095341596	0.3796256456712683	0.0	0.5073130697443137	0.0	0.10637552372227808	0.0	0.5503921291548983	0.0	0.0	0.0	0.0838147774531989	0.17371051738053944	0.0	0.2691520625161506	0.0	0.48676396253627324	0.18490789248868042	0.4313135044076353	0.08584741046405105	0.0	0.10538023210723148	0.1279536785133438	0.44930151379565053	0.0	0.12861050018011552	0.0	0.12986750607957728	0.0	0.0	0.0	0.4735859960950199	0.0
40000	-607.0842112656542	-6.740301797085979	-600.3439094685682	26.538843764054636	6.0	0.11956803765630045	0.08702757695638365	0.06022814185200961	0.10827483692319011	0.06671985948740007	0.09363500327780616	0.10891957569158672	0.1405226756144232	0.343781966805287	0.10367238047129967	0.11323220814716556	0.21399794286131166	0.08749234244016858	0.08517090316008462	0.12226195958470276	0.09016081300883197	0.10583846725901512	0.29169300053161595	0.12958711672913983	0.10489326061527933	0.09444734806504583	0.10294011523043796	0.19494269049588434	0.09824819523524068	0.09247138368243182	0.09516316327762821	0.09256576278259082	0.07413530207006601	0.11960496162688106	0.09247306123712976	0.11832739780748616	0.41649176892295675	0.13383503507132094	0.08433648585091964	0.10880215952977072	0.09341108960075327	0.05627892667616287	0.24236426890697585	0.11349018049946737	0.08136382168682414	0.05737234346733353	0.10536944374378959	0.1053281889802638	0.07654093721255258	0.16766174560703392	0.06579125471342868	0.2868723161222001	0.07952853400970797	0.17405112594497807	0.08487866125839125	0.07457761399347711	0.23462625133332213	0.10568825897498045	0.24078730038577847	0.05515020749827076	0.36871854026441964	0.11153778871201836	0.08521669354570223	0.12137151163786004	0.07742537121197547	0.10108978643941509	0.3262994672426763	0.06729773031275445	0.0	0.0	0.07861517846610806	0.0	0.12721403027631142	0.0	0.0	0.0	0.0	0.5203156529734922	0.17902036914976566	0.09757236817672542	0.0	0.09887844873765081	0.15648009540762367	0.0	0.07440281284099383	0.6379613853794189	0.07530055472937087	0.0	0.0834235832286545	0.0	0.0982919689972231	0.1007375520985461	0.0	0.15537862570410316	0.10303036138914577	0.12090236391947033	0.13069377235746293	0.12887881968586876	0.45143776842187017	0.3772759822446985	0.0	0.4919268696680222	0.0	0.07175573679197603	0.0	0.5185882404537996	0.0	0.0	0.0	0.056182006232497264	0.13794182139227382	0.0	0.27274924039381127	0.0	0.464357184494365	0.13255126205764464	0.47872688503101857	0.06308531535566134	0.0	0.06963805556635294	0.12215841568256028	0.45182275693840623	0.0	0.09102294740299538	0.0	0.0910120208520306	0.0	0.0	0.0	0.509443952750448	0.0
50000	6.189159879746462	-6.478572606227694	12.667732485974156	20.35887446919621	6.0	0.08935680502972587	0.058355873744217274	0.052631746723511806	0.09923518407740775	0.03547179798621798	0.06257393900593342	0.08380872325954423	0.08788373906746953	0.2723906482685168	0.07530111605435287	0.07713964184567201	0.2245809347348996	0.057185852926106485	0.05785842837977435	0.12225678524266037	0.054060049656704134	0.09467525253612448	0.2652111754702995	0.07853903957325346	0.07848926848056668	0.07737592974594792	0.0708123929457916	0.15751990955132844	0.0834540855739975	0.08045815061224078	0.07561011912802312	0.09591979508134778	0.055732467143421796	0.08514499122856443	0.08635994844064686	0.07464631902231918	0.427664853386982	0.1594858635987441	0.06447616798810944	0.0618257877646467	0.0829488355931249	0.045299550991632284	0.22393233740929228	0.09137816523422161	0.07868721204861903	0.04320179203327941	0.08872491271619612	0.09171694138689095	0.04621919578658621	0.19913332570179088	0.05932279961942086	0.32498684917429027	0.04662176842587967	0.16589925647325934	0.06934832190965765	0.05968249776386465	0.23020906367590302	0.12303728425566228	0.2502920598414278	0.03633272503675485	0.32534479820654	0.08375979105579502	0.05063959221017483	0.10472417675805554	0.049337081958885386	0.07130689388912469	0.32593065519842523	0.057222856027179914	0.0	0.0	0.04987199617047892	0.0	0.07377336953769814	0.0	0.0	0.0	0.0	0.4998303586625877	0.16049534390749962	0.06876733420716273	0.0	0.12126056596859584	0.15377701416452194	0.0	0.059646653537425307	0.6808980128401273	0.0779443256418955	0.0	0.08215501992608869	0.0	0.10017822317292947	0.06022379827062204	0.0	0.16050186943177958	0.11676597870049833	0.10711421329185657	0.08996374774800725	0.12026343308658623	0.4399713574326844	0.38109658738393243	0.0	0.4717682071820201	0.0	0.04606917261816712	0.0	0.48167963767843347	0.0	0.0	0.0	0.04292492605880416	0.09494392476610677	0.0	0.3002936295069726	0.0	0.4683459839481963	0.06848228231286808	0.4375626277149694	0.03720308954105295	0.0	0.052121121386203985	0.09197517286308451	0.4509449394931401	0.0	0.06858909168773811	0.0	0.08172052912199296	0.0	0.0	0.0	0.47222333896386853	0.0
60000	177.87160595800788	-6.734679048031987	184.60628500603985	26.38861260520747	6.0	0.073422887878919	0.047304791033607296	0.03805813381686791	0.11183954573506695	0.028329347201010827	0.04517615454460053	0.05729264378345792	0.0558631551792179	0.29433943559009057	0.07122156267388066	0.0731476587118927	0.21707670138336285	0.054388382009696624	0.051758599332973464	0.11102612278415247	0.05178523244531483	0.09034489078080132	0.2815919639572333	0.060697690192427475	0.05578737843501721	0.05092170669403354	0.053303082135706004	0.17369638425017533	0.06300240375435555	0.07731741684968545	0.05496259706992756	0.07847727719459244	0.050288644902870556	0.06987802896021392	0.08515417317024972	0.059469310296324004	0.45922853310875916	0.13902098851675773	0.06051925625439149	0.05201451220980768	0.07218415192834483	0.03860620337764413	0.24086074934042936	0.10345973903712101	0.08070874266144314	0.0380699356877308	0.06656378843086674	0.08908960459423061	0.03551583247808755	0.26073519795466377	0.04723968163354506	0.33175068803537305	0.03690190973134537	0.18940193497886496	0.0631323487473846	0.055190667409362015	0.2443297164057321	0.09526650271827568	0.26676222859864385	0.031028097808702818	0.31426546299296804	0.08893303585485914	0.04458045424899714	0.0948108896803536	0.05072524548569383	0.05142824766374148	0.32384699492088115	0.04667342012551228	0.0	0.0	0.04604737724657065	0.0	0.0599986800697402	0.0	0.0	0.0	0.0	0.4897822602779505	0.18183107997399137	0.0711746301670126	0.0	0.115178690462918	0.17706784647199547	0.0	0.05249867725102289	0.6584084652124117	0.07202367404909699	0.0	0.07034767566540026	0.0	0.0820723445009993	0.04788537459408031	0.0	0.12063600981422677	0.10486232756405911	0.11252582650864908	0.10259269128773746	0.12420030022366554	0.44505819834975835	0.3675112599521425	0.0	0.4436233928999182	0.0	0.04599608243716134	0.0	0.4928039355318073	0.0	0.0	0.0	0.04616276502092787	0.09041050430600509	0.0	0.2998577998124658	0.0	0.47225332923797175	0.05164695216436271	0.436231884796847	0.03143284487619531	0.0	0.0492772399073088	0.069696387256575	0.47940809420558134	0.0	0.041169678871820124	0.0	0.0801889706136481	0.0	0.0	0.0	0.4789965709034855	0.0
70000	242.5941505404149	-6.58308342779658	249.17723396821145	22.63659497500199	6.0	0.04258229235639647	0.05688116386812225	0.0471464830513051	0.10355415706401766	0.030835071989222827	0.04326451004078575	0.06254007743878844	0.04892474560003865	0.23955741653392437	0.07328633965591125	0.07336432218721683	0.21188893319463337	0.04387273081501978	0.059591384028182655	0.12242680521879587	0.04459365571467312	0.0736312142280338	0.24707746289278407	0.039113183439376885	0.03875901768440705	0.03969219860895274	0.052107908043095924	0.19786704332919627	0.054723101502319293	0.07096880853658452	0.04513192150380227	0.06476005767969037	0.0457990617441449	0.06231292974194388	0.058253447921020565	0.06209471423392045	0.41301095392879733	0.1441058344156368	0.05918652363108685	0.04129588614638203	0.06158326176373489	0.041450186770061244	0.23359571343965765	0.09505449913962616	0.08284805086194448	0.033127770084546426	0.05672865617461862	0.08383350896018243	0.032434578755025714	0.20740663160206116	0.05182344597067092	0.2933020598232728	0.032519323611641816	0.17998670677898007	0.05537680541700394	0.05151584959123181	0.2421571105220566	0.10258720785671861	0.24773006344106	0.024245285754980493	0.3525245549358864	0.06592473698405152	0.03956577519344863	0.08083492522611245	0.05183522952323623	0.06428155588563586	0.29685979733253803	0.047004809071230835	0.0	0.0	0.04452186361773233	0.0	0.04986455239991263	0.0	0.0	0.0	0.0	0.47942733669365417	0.18695438863940456	0.056327965821228246	0.0	0.11551239849733853	0.18172781496253412	0.0	0.04608580048290443	0.7116777225328536	0.0720366502570812	0.0	0.06296955743618496	0.0	0.07437539795459304	0.040450490450989945	0.0	0.12328998749080175	0.0978876015947241	0.09998997877952898	0.11166817648023679	0.0983330356150649	0.45075757468374256	0.36139973917775886	0.0	0.4665229561621772	0.0	0.03611936252385342	0.0	0.525395505193507	0.0	0.0	0.0	0.043848794811231925	0.08199618001329835	0.0	0.2707584961394763	0.0	0.4008189440415009	0.03924454320208236	0.43193938776232016	0.023177896450983105	0.0	0.04173086760067665	0.06118211385730978	0.5165640872699917	0.0	0.05048856119141967	0.0	0.07321716128795958	0.0	0.0	0.0	0.45517923450901565	0.0
80000	258.08219979975354	-6.693278604454033	264.77547840420755	25.307666450495624	6.0	0.03479633632419862	0.056671209729090496	0.032317095088190126	0.10250624197754606	0.03412889261685023	0.048919870999010184	0.054351721623556525	0.04239219554813097	0.2624213141810663	0.04911434729780824	0.06984701863709797	0.19544823557202565	0.05023447218750531	0.06186802218835661	0.14935352839931607	0.04109463260959083	0.0772579053173915	0.2790263259075496	0.03890365205172189	0.034142370910059505	0.034168295904884606	0.03603446977022029	0.19706438330444342	0.04292099453140276	0.06339612141479124	0.04464846693915359	0.0594644990497808	0.03584286244122154	0.0576871322502291	0.0567212822126395	0.06223312684861772	0.3537601164644479	0.16860604904201734	0.051838851502665595	0.04022988921886526	0.06086633457287293	0.040706578528587646	0.24189272723688715	0.06987370276512395	0.09433334635006839	0.031931954738073136	0.06309724871503795	0.08780429845124531	0.029979196643780636	0.20716313352776006	0.03971420804794827	0.29030579786715244	0.03718092849314541	0.16000177899405088	0.04787354342586601	0.040860795269455304	0.20113134531762145	0.10548666489186993	0.2683233419207993	0.03232043330544292	0.3085268069670183	0.05219942438729499	0.04529072945188964	0.10947659795430766	0.05121531561452331	0.049553131489333595	0.2833337298308446	0.038870625277833	0.0	0.0	0.029643162407302068	0.0	0.06472409632015616	0.0	0.0	0.0	0.0	0.5046269728098002	0.1810304645832432	0.04477356236479148	0.0	0.10546410006248158	0.20448190964587243	0.0	0.0429563050534367	0.6790518218217785	0.05777841435021764	0.0	0.05740424389964635	0.0	0.08862915928911627	0.04256952749934686	0.0	0.11326003958976108	0.09981942436477786	0.09915576204677848	0.10545026080515196	0.11077602984704907	0.4354108994546091	0.39551251508892543	0.0	0.4772815779308327	0.0	0.03493790077932414	0.0	0.5437698556561085	0.0	0.0	0.0	0.043805431648618144	0.08068442488332384	0.0	0.26239247655636194	0.0	0.48990734056711255	0.040513568078258344	0.4351755031127804	0.02151188932838008	0.0	0.03587094300985637	0.0660825906779631	0.4457164621868634	0.0	0.052877855095496404	0.0	0.06181045942830117	0.0	0.0	0.0	0.4278642717611773	0.0
90000	274.14157132872964	-6.911541557340528	281.05311288607015	31.5338791447827	6.0	0.0414966510678498	0.04705159937802918	0.029891472800637604	0.10726722187541494	0.039570367689930545	0.03816496662163526	0.060545517423061225	0.032323853431740955	0.25919848278072694	0.0528512162896107	0.08190673800022531	0.21686084708029243	0.04515358826326278	0.04610805342325295	0.12213600551111553	0.027630432022631685	0.09785105878479494	0.2784968517544086	0.047190707357388145	0.02613909275695247	0.03302845433173062	0.02964761850742709	0.218987725140767	0.04943584046623256	0.05554228766043015	0.05110441399086323	0.05133445925141652	0.04569411364276072	0.03997388849577082	0.0797805312098549	0.04678584209491339	0.38882136302968645	0.12750997577093	0.03141445902727328	0.026910916851785423	0.07991532622653347	0.03223861787616191	0.24744029450308383	0.08096551615553224	0.08006725450380901	0.023371645857999605	0.06619306158033426	0.09648918523890833	0.031738923624579404	0.2640534564806273	0.03575698631449476	0.25481111390175565	0.04040086575132961	0.1721958520200223	0.039494914107819204	0.037215417473465476	0.20935239068168265	0.10085967022466348	0.2697395169617265	0.03051803067409815	0.37077151310480755	0.05863922109044573	0.04448106277508635	0.10714198879543071	0.042797711522930576	0.04892397468341208	0.299947509635221	0.031848618678194544	0.0	0.0	0.029887580263513614	0.0	0.050177192631480474	0.0	0.0	0.0	0.0	0.49282682640358977	0.20409243494823132	0.044315670857994496	0.0	0.10406135131224227	0.14435350554833046	0.0	0.04779388882039689	0.677792584718717	0.06507619495413393	0.0	0.05405250259520698	0.0	0.09648024478634219	0.04864197926505839	0.0	0.09477392344827876	0.10470724876126063	0.10285812428960303	0.09551947691332315	0.11070624877636365	0.4320555839876461	0.40308043759856854	0.0	0.501110912429591	0.0	0.03592886442539102	0.0	0.5459123412693708	0.0	0.0	0.0	0.05721816533954056	0.08512400502083405	0.0	0.29047635949508643	0.0	0.4666743118803061	0.04240428239309177	0.47017029496989293	0.020428476841831127	0.0	0.03062591020176214	0.06470230789823649	0.447218892742718	0.0	0.05605042190174993	0.0	0.06480134613936961	0.0	0.0	0.0	0.42809748228269245	0.0
