# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Oct 02 13:34:26 BST 2020 [seed=656]
# -working -overwrite -seed 656 -prefix 656_ extinction/extinction_initial_uniform.xml
state	joint	prior	likelihood	NeParameter	generationTime	p01	p02	p03	p04	p05	p06	p07	p08	p09	p010	p011	p012	p013	p014	p015	p016	p017	p018	p019	p020	p021	p022	p023	p024	p025	p026	p027	p028	p029	p030	p031	p032	p033	p034	p035	p036	p037	p038	p039	p040	p041	p042	p043	p044	p045	p046	p047	p048	p049	p050	p051	p052	p053	p054	p055	p056	p057	p058	p059	p060	p061	p062	p063	pt1	pt2	pt3	pt4	pt5	pt6	pt7	pt8	pt9	pt10	pt11	pt12	pt13	pt14	pt15	pt16	pt17	pt18	pt19	pt20	pt21	pt22	pt23	pt24	pt25	pt26	pt27	pt28	pt29	pt30	pt31	pt32	pt33	pt34	pt35	pt36	pt37	pt38	pt39	pt40	pt41	pt42	pt43	pt44	pt45	pt46	pt47	pt48	pt49	pt50	pt51	pt52	pt53	pt54	pt55	pt56	pt57	pt58	pt59	pt60	pt61	pt62	pt63
0	-50189.13838861465	-6.861937707712735	-50182.27645090694	30.0	6.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
10000	-16890.807719202927	-5.399621947877097	-16885.40809725505	6.742282935953524	6.0	0.4091484136169126	0.34541706735085426	0.3453538327036514	0.3784229371662623	0.30262949817043516	0.2727870765430075	0.31797223338900416	0.37569838558630897	0.3188790135538753	0.3787663087685225	0.31150228181857087	0.3585839068408503	0.38615927576631603	0.3391397804263739	0.3689082758163106	0.34759347804805235	0.2867674876160898	0.3699685461477284	0.32947231840030516	0.352810258430791	0.33053446000111547	0.3381116572574578	0.32019563782796023	0.3228140404702069	0.36514210899682814	0.3120673436349292	0.3060942907590191	0.34891178738860634	0.3568704867445949	0.33468321285465225	0.3099823532324633	0.37359295678111987	0.3339096691847858	0.36286456676143775	0.34622374913474196	0.37019333964787837	0.33401951359559684	0.3828736851072821	0.40115928387789973	0.34371833822062975	0.3153329453166437	0.342628575993747	0.3459465502941529	0.4200044606615909	0.36202351568440566	0.37348593516744705	0.38607439928118825	0.3845925146748056	0.3739680118171583	0.33241378880483163	0.38658544410996126	0.38631682549944335	0.3896809693895298	0.3147825586849319	0.30629438320469116	0.3878002860528998	0.37675674704633005	0.31187638270924917	0.3297568874546564	0.39556796891597723	0.4089142765945348	0.3549181570900391	0.35164419368335553	0.0	0.0	0.34539206912677783	0.0	0.3348104540926028	0.0	0.0	0.0	0.0	0.4773547021823991	0.3004306728354157	0.28104069457909026	0.0	0.37045725077896935	0.37133007773959953	0.0	0.37790909803935324	0.6647516114735742	0.33442860632655974	0.0	0.3239361020612707	0.0	0.35753156013557297	0.3807863508772575	0.0	0.35760879926192773	0.28929114040466003	0.34756518132936287	0.384251585397485	0.35858394256519505	0.5050908435983587	0.3907081226609834	0.0	0.5197446262006186	0.0	0.3443036847455333	0.0	0.5518534345412921	0.0	0.0	0.0	0.36359817479084383	0.30540368911029553	0.0	0.3858426289087972	0.0	0.4769715209357462	0.39525348077401584	0.46609800797274376	0.3307917134045874	0.0	0.36608904908585677	0.34282482347227944	0.4519974828795133	0.0	0.35000961454932467	0.0	0.36535714437775535	0.0	0.0	0.0	0.4608693764558059	0.0
20000	-6932.482024791798	-5.921355963757783	-6926.56066882804	11.526554991101976	6.0	0.25419310239401016	0.22740611592489474	0.259286108505698	0.2350520529170933	0.17063985548768254	0.1576787003162651	0.2021941037428543	0.2531949770239866	0.2625823423768959	0.2016695094614679	0.16705243241067844	0.26507425157596887	0.23439324782888415	0.24895060530925042	0.23386921480409603	0.17613199264908214	0.23141026375832383	0.27671999788465407	0.20420725060681583	0.21086120965684113	0.21046845410441067	0.20784433704996394	0.2069119470971592	0.17443580515599696	0.2197196545006166	0.21161521824024665	0.22186866367394398	0.209107156661567	0.20950346161779956	0.2160196576611783	0.18593003078875564	0.41363040878134955	0.2392541224346026	0.222669044812131	0.16046107073909704	0.2784799364831358	0.19057926865132244	0.2808353095332335	0.2570095075187602	0.21954888188497523	0.1940525727399971	0.229858310269669	0.22098987335647813	0.2830530642731486	0.26451328599429386	0.29938010389480574	0.31789851527858815	0.2380128403303482	0.27310199129765156	0.21870940124313298	0.2870478075492802	0.24414664959764448	0.24184574671188236	0.2795779108448514	0.18353954420213628	0.3166589551936993	0.28798357296456784	0.20183863622748072	0.23233014695791587	0.30764295602726593	0.2313685282298247	0.3427457320756536	0.19010608485647382	0.0	0.0	0.19360751422753691	0.0	0.18339856675230426	0.0	0.0	0.0	0.0	0.4476706724414743	0.21456410172907225	0.1653041110993641	0.0	0.23939696394443094	0.25967561195448347	0.0	0.2546741302076636	0.6576513027454419	0.20774940992855667	0.0	0.17302407087098848	0.0	0.27327089701793655	0.2420075876787577	0.0	0.20500738631481924	0.15849451520277175	0.2144558786883894	0.24657203838055955	0.21252978372911194	0.4713523938288463	0.3683259005676224	0.0	0.44360526367857883	0.0	0.25975055178210793	0.0	0.49485036723615616	0.0	0.0	0.0	0.21328817016866555	0.216696586951244	0.0	0.31533972666988735	0.0	0.45312479531800415	0.25050625655664976	0.459579231789847	0.2030399735566885	0.0	0.22259500469065377	0.24660095322111963	0.426987327921822	0.0	0.23921291248712467	0.0	0.2787064789608936	0.0	0.0	0.0	0.447043020922969	0.0
30000	-2053.1219510859773	-6.2782020763101904	-2046.8437490096674	16.602614731035498	6.0	0.16092745364202848	0.15351225253980744	0.15516879159062413	0.13371087778956578	0.10099121329363045	0.10415056422542629	0.13442070349144836	0.14816269757383602	0.29920347552689003	0.12269636864616049	0.08569819857099982	0.19536538099101644	0.12785972976704976	0.16756308417343851	0.14890591231664324	0.07910583840481811	0.16501495996973173	0.2710618977641558	0.12015934937951957	0.12040860530710662	0.11825678632340253	0.11725516514906416	0.2324976129976745	0.10082399614993981	0.12364293524324359	0.1272277345153662	0.13227671158449977	0.11945144626625984	0.15318264874029872	0.12189484474465903	0.10949276568318823	0.38290764312131426	0.19106219080566042	0.1261132513498019	0.10171961755220743	0.19330622098475256	0.08958654485958988	0.27190059269803624	0.13762688955041072	0.1430464826258037	0.11659281445475812	0.1398804936503106	0.18756163210337712	0.1268455602870942	0.23313383216284694	0.18321841384360366	0.3184095222719845	0.11852832101234351	0.1752666028206369	0.11476606048309886	0.17109878130592224	0.2301929711899809	0.1579934195464511	0.257182766781473	0.13232852104187523	0.3632627706458385	0.14415759289835078	0.13267609443698933	0.16886255465344072	0.18893541326706081	0.11999157173711361	0.29265811317991514	0.10844254947322088	0.0	0.0	0.11004398685465606	0.0	0.10850262734822093	0.0	0.0	0.0	0.0	0.44769346071571775	0.18425969206780576	0.11143255553120981	0.0	0.15642238129143704	0.15486321782283663	0.0	0.1445359091401519	0.6736460486969725	0.12431998941466368	0.0	0.124865252550708	0.0	0.15504668091874602	0.14601364960454025	0.0	0.13152504476376617	0.13690413013476874	0.11987773082845189	0.1730166471183866	0.1396981201179398	0.4575675829305358	0.38081793676819403	0.0	0.4750994214267086	0.0	0.13091560759213003	0.0	0.5342484535070877	0.0	0.0	0.0	0.12862321380866826	0.12480408414437204	0.0	0.300807767313731	0.0	0.4507943593531852	0.14160917905313283	0.4452870628280119	0.14394680310386337	0.0	0.13381002098987088	0.14407366631749496	0.4469453265000602	0.0	0.15257419250156787	0.0	0.20780507781763646	0.0	0.0	0.0	0.4410361521502027	0.0
40000	-475.8451301974739	-6.656107402029837	-469.1890227954441	24.37398992592033	6.0	0.11157513291670815	0.08802096087554546	0.08670889836769799	0.12938386362418813	0.07915775271226379	0.058713309711883224	0.09083680741729579	0.08244368715204681	0.265461390016772	0.10243126576877548	0.07317573920801285	0.2510781472858487	0.09099881043944308	0.07417639505432623	0.15024577157851174	0.05207749584249349	0.11947408755355834	0.2782179007042409	0.07903497655714098	0.07696878111703809	0.08963422076648138	0.07944305981274948	0.18310742600915042	0.07717522287329183	0.07375247200979702	0.1000153628550393	0.08706811821505131	0.09263436419645911	0.09495177520135624	0.07751920928817961	0.06637804958896025	0.4136769427899913	0.17169828981637048	0.10026639859442531	0.08103662866327721	0.11765001046843385	0.05551395840765531	0.22202520183298627	0.09648524221432027	0.13245002934130204	0.08098356478368386	0.1044343885296327	0.11523466707159585	0.08505893497878125	0.21571845654634	0.11031022580455888	0.2637280657230572	0.06733509752638552	0.1534781942089457	0.0747535913532013	0.09906054693683683	0.2265096782965959	0.12548719524295596	0.2182611921268663	0.0889620883984853	0.3255294371793678	0.08217912233797851	0.07647381702517536	0.13400762118834786	0.11131352979443279	0.09169064599626658	0.3009686170675799	0.07427947097465902	0.0	0.0	0.10930040619658796	0.0	0.08750640492875615	0.0	0.0	0.0	0.0	0.49365058706945053	0.17965800270923485	0.08231532834072985	0.0	0.10599350363709659	0.13535394615762694	0.0	0.09866016305404497	0.6695268963637625	0.06203699239617821	0.0	0.10162184464534027	0.0	0.13154754028090768	0.06873212259951038	0.0	0.1442968394804232	0.10176284768488919	0.07555524848625024	0.13339953951281827	0.11038358257974851	0.4739689835927991	0.3895792165827173	0.0	0.47086457895747647	0.0	0.10005426586898299	0.0	0.5192802305529112	0.0	0.0	0.0	0.09592546435259358	0.08658502125698042	0.0	0.26314071313472964	0.0	0.4738600618683331	0.09028955826312407	0.4638608641376937	0.09299336146671816	0.0	0.0692253829501201	0.09917609520169159	0.45093896993556076	0.0	0.06929065008441325	0.0	0.1436289572663546	0.0	0.0	0.0	0.46712641349920336	0.0
50000	43.0527490412729	-6.757787273821147	49.81053631509404	27.011366389695883	6.0	0.061893306070531284	0.08783362430529683	0.060427735233572734	0.09962736097014686	0.057838804732330315	0.05222406362688859	0.07346341102739185	0.06509789222885935	0.29196479788735946	0.10110367729955347	0.09583068434826797	0.20556020853571755	0.07169564632714943	0.06070801157190863	0.1392938970514462	0.04131732362837936	0.09171890676916558	0.31585457539566764	0.05595436859847267	0.04913392176721756	0.07356500933808424	0.04237208079811457	0.19476179992588702	0.05257189811575758	0.061032742194752285	0.0754805324487264	0.06451069123961851	0.06683642524491014	0.07665068187975195	0.06400812143041282	0.05356150065334792	0.42924952946464934	0.13663676973957278	0.08467335002018958	0.046246966471449026	0.0838531299196223	0.03485853099048933	0.23864304322284957	0.09189366135558126	0.09141166896646237	0.06959153899275003	0.08682592010943341	0.0892979632875741	0.04829850598650075	0.23296945947914013	0.05716314475067562	0.2729252552107536	0.04905036066431568	0.18806014337811616	0.057428091147961186	0.06580295848882915	0.2090377772652445	0.09361790725427699	0.23717404104872022	0.06874977233421722	0.3127480217287272	0.06846020150304968	0.05325878669872271	0.10678696134441935	0.08996459216479058	0.0806096742985007	0.29143781068432345	0.0620657002350544	0.0	0.0	0.08741338535464895	0.0	0.0484112609854876	0.0	0.0	0.0	0.0	0.5236461768965714	0.17368214291971693	0.05616362980111961	0.0	0.12306304087483107	0.15725366630185417	0.0	0.05998871829627627	0.6334220703460439	0.06342525664873057	0.0	0.07995924421718426	0.0	0.0985448762155539	0.04661502516414421	0.0	0.13423789107469933	0.09594431622439481	0.08550225896516142	0.13459744436881357	0.09813262995439986	0.4599267955306186	0.3599202928782039	0.0	0.4822545331724302	0.0	0.07602219238439197	0.0	0.48071872268503624	0.0	0.0	0.0	0.056569694974323	0.07645186614508732	0.0	0.2684889768364813	0.0	0.474527788977737	0.0652535526926092	0.40472118593542883	0.06327193927905068	0.0	0.05756186294627905	0.07241656363885386	0.4784445815365058	0.0	0.048874934836602144	0.0	0.09962220263410068	0.0	0.0	0.0	0.5084585927694074	0.0
60000	205.02140945135395	-6.644496375233832	211.6659058265878	24.089288401254944	6.0	0.04281858201783908	0.06299503325344154	0.04609038982923425	0.08366026268849064	0.04753735624688485	0.048000164433638866	0.053283513789080326	0.0671791871998645	0.3142815897922713	0.06861114556834727	0.09470449055324807	0.21125959255969748	0.05532342642247605	0.052561015395108684	0.14211531184316878	0.03097286630079768	0.10396343079745851	0.31305551746351395	0.04194802186342839	0.03557106829332594	0.05142898654928441	0.036065410176770854	0.21728475872622763	0.059161289933911884	0.05402566632489379	0.07039403436101165	0.049430042051938	0.05100930541455887	0.07103384257806825	0.06031823744481988	0.051062033117471095	0.4195238377297757	0.15866083621378885	0.07991538314921505	0.03849616857868434	0.08076412335176188	0.03434441477572081	0.25553048357399266	0.09791443223243058	0.07808334150777763	0.05311774654204286	0.08142050663636355	0.09220258213011857	0.03718984492022158	0.23063918889471524	0.04769462973570733	0.3009800493287413	0.05098354960701845	0.1757842120277362	0.04332672340156734	0.04844207357095445	0.24659201780819115	0.09660744433218074	0.2559835364503138	0.04444898027791782	0.3229014142001149	0.06444531185967359	0.0533549412489193	0.10129326509028211	0.06495729486927052	0.07581120546024327	0.29539160680709964	0.044084955923134994	0.0	0.0	0.05930768439975306	0.0	0.03446097211873349	0.0	0.0	0.0	0.0	0.5136107153554396	0.18109189552031518	0.04952043843141511	0.0	0.10476503528199024	0.1496444443965046	0.0	0.05643473724551892	0.6676431456239418	0.049002306403710935	0.0	0.06539057426484864	0.0	0.09947169739218958	0.03411328328925598	0.0	0.14300805657090213	0.11779404744791057	0.09169038710580688	0.10622218062384985	0.09622631755347406	0.48906369807444244	0.3939772273908277	0.0	0.500993872490157	0.0	0.054802621881347754	0.0	0.5078015371266968	0.0	0.0	0.0	0.046527999466862556	0.07501534956990992	0.0	0.2975466982572837	0.0	0.478978893989389	0.059636477043420344	0.43532616350976217	0.04763793147341569	0.0	0.04574002806354048	0.07013272473166261	0.4667522808136629	0.0	0.04644482829028701	0.0	0.0777593573452885	0.0	0.0	0.0	0.46679345324772464	0.0
70000	248.66842872259687	-6.781351161523298	255.44977988412018	27.661114255203337	6.0	0.028079514201091612	0.06341835485416773	0.04715258348590961	0.10466258955185527	0.035472453331510605	0.03629792138434901	0.05838771194296421	0.04109459961231672	0.3131088304352584	0.05716216433934926	0.09616416182133587	0.21654687330916994	0.05806222925665091	0.0403051973713621	0.12111899589508125	0.03076125030598614	0.08072833015061563	0.2551716112733804	0.03713846460555897	0.027150302272086417	0.04320053274439586	0.022688248698436685	0.20077428881346118	0.05078890855106969	0.04599247406479896	0.07207761433734126	0.05736001383018552	0.055484040745275846	0.08115228613556531	0.07292688741085533	0.050780313569601644	0.4368042586882698	0.13109720041938147	0.07343941516900945	0.035127265309248944	0.06402306250567162	0.02610254631030771	0.27334631009310284	0.09972846421599606	0.079025572562855	0.04463853530029962	0.08107494030362607	0.1028510740744356	0.03666426929745466	0.23510609333664084	0.03583957159662837	0.2697239996769585	0.03749729987440606	0.1846651509312849	0.03736786773142562	0.03358428315337934	0.22603729311634588	0.08336070953702303	0.30390984750326216	0.047141776184597375	0.3399497927372262	0.04865636143891501	0.06407650562292495	0.10173397340384012	0.05929828599324657	0.05663516931145351	0.2784760216250064	0.037100672775273125	0.0	0.0	0.06438907443378503	0.0	0.03339954759204802	0.0	0.0	0.0	0.0	0.49112493930427803	0.19852753316592472	0.03958302345682196	0.0	0.08606925825474385	0.16008978924084463	0.0	0.047797960653841697	0.6676190006386147	0.051101858688084735	0.0	0.06211271347167544	0.0	0.10180517074761249	0.03906877619736124	0.0	0.12076290163619736	0.1163155559052661	0.10435450834830008	0.10408982150256135	0.09513668605135644	0.44585465757110776	0.38418016362282636	0.0	0.497430757602938	0.0	0.046701047998596694	0.0	0.4710334722846809	0.0	0.0	0.0	0.0312585376510922	0.07197545231237155	0.0	0.2820021159233148	0.0	0.47845193836287364	0.05471196396566079	0.4716528289349101	0.040540485281063215	0.0	0.04177561224513152	0.07226310293781633	0.4704864738218379	0.0	0.043484298398091675	0.0	0.07103795589273132	0.0	0.0	0.0	0.45299954525101827	0.0
80000	270.5163354172625	-6.829446038757654	277.3457814560202	29.03475673839459	6.0	0.028565009836212584	0.053148801177722735	0.04948722819251198	0.12276205144052998	0.03143062472802586	0.03181484681691068	0.052059297300282394	0.04366433642451285	0.2664644662338377	0.0701634953667346	0.09303080774396175	0.23734912494713084	0.0381229846329922	0.04105271444983499	0.12154592700181847	0.030827950993981987	0.08107202166056827	0.292008266554476	0.03785793386505808	0.020218424870247925	0.039502085657907623	0.027826680201673826	0.21419410027249278	0.061977606750040826	0.06010924426495054	0.058182368123594855	0.07052212429606404	0.045370000012993954	0.07010889471221021	0.06157052707258076	0.044704625874191606	0.4094464465280182	0.13605921757675152	0.06832903008760285	0.041729892257991084	0.06685755266097311	0.02829041352937001	0.22318163042109995	0.08174968871753928	0.08434817873648626	0.03214062439995283	0.0760820399154786	0.09879300337969651	0.04295411763500305	0.21155830072780865	0.02568039713899907	0.31263875892896437	0.03968004429579877	0.1870723117146022	0.04158308541546525	0.029198516823776482	0.22261640463849836	0.08020084069993459	0.2712584396041534	0.04476268216085251	0.33191892560927955	0.045518399480833686	0.05583688157362723	0.10709799603192077	0.053809517537367665	0.06374994436610229	0.3088824998265603	0.04235985672919788	0.0	0.0	0.06259084884747086	0.0	0.038352517347254866	0.0	0.0	0.0	0.0	0.4873234036927522	0.18364491813096723	0.05447399598181186	0.0	0.09108073833640576	0.14907889522228662	0.0	0.036608464599908595	0.6864236382223163	0.06811063458147208	0.0	0.060140022276432885	0.0	0.09339228048162901	0.03750709071841708	0.0	0.09251049211625106	0.11113031347661112	0.10435421177362968	0.12681979821567177	0.08605815744431242	0.4931926522923263	0.4066473622527612	0.0	0.44977376700973676	0.0	0.03196918893363534	0.0	0.5469553241714369	0.0	0.0	0.0	0.03143576140230056	0.0809063579520797	0.0	0.2590768618185089	0.0	0.48093811446874274	0.04303721092749894	0.46989418163341823	0.03533923650560216	0.0	0.0438611677081137	0.06225594575141498	0.5054436079910803	0.0	0.04830012031605688	0.0	0.06787174307487613	0.0	0.0	0.0	0.46215569872700546	0.0
90000	284.52949662113576	-6.550769300655009	291.0802659217908	21.906948279276495	6.0	0.021865691123938324	0.047732855117738685	0.043858848869079946	0.0991638665696954	0.03230287353365808	0.03373030614210594	0.04849639205046732	0.04030112586202307	0.2972124546045702	0.07022359500391893	0.07744203741331074	0.2155354240283344	0.05007639268659682	0.04280352654699669	0.11663287953440737	0.037965911278736844	0.09626422638194393	0.28180547393617494	0.03195524675724118	0.021731382116707713	0.04414011007706525	0.029638898805764553	0.2116536552495149	0.047992343050214645	0.05892315803618692	0.05736405821635238	0.0674885726829328	0.04759532432223517	0.06277484214410335	0.062228015487597654	0.039218353752429665	0.4140347871991372	0.13868208350063868	0.06184450458962742	0.04626018721382222	0.08453895354025358	0.02766337978939662	0.2227533302973923	0.10936774066462909	0.07829219250373734	0.03510100508195708	0.06423750788806935	0.10051100529497645	0.03152869709297873	0.22245609939642821	0.025291143187358447	0.26307979579688434	0.0370959374385128	0.1616578714887617	0.050927737638754175	0.027102336199379587	0.21050074920318637	0.08416556641989349	0.25124950528685774	0.03668380700614341	0.33261842145687603	0.040628685467610476	0.047647156468207344	0.09088337218875511	0.05341847533372054	0.06885151225018955	0.3118945677991636	0.04926220516507053	0.0	0.0	0.07069879989055872	0.0	0.033208482397828594	0.0	0.0	0.0	0.0	0.43259163310731463	0.18975725111585054	0.043022176776165925	0.0	0.09449718551083429	0.17576287461031967	0.0	0.031135180755463954	0.6802561809602653	0.07064192559180822	0.0	0.05528029266557632	0.0	0.09945963139773746	0.04234280736204832	0.0	0.10815639351596443	0.09144418220408548	0.10891389781167814	0.11216478783167937	0.09935563012966495	0.47148684102210453	0.4090315107007192	0.0	0.4875130161299013	0.0	0.026621913623479803	0.0	0.5357772189805429	0.0	0.0	0.0	0.0336635196597768	0.06819642018048237	0.0	0.2609077710152072	0.0	0.48189047456671763	0.03740069741104399	0.48454270659079746	0.031219877044058694	0.0	0.05340466740941393	0.07332573767159242	0.45872474432440036	0.0	0.045266113894793424	0.0	0.056024919177514	0.0	0.0	0.0	0.45369696363278184	0.0
